"x_data    "	"FFTMAG(Rectangular(.plot_2.curve_1.y_data),164998)"
4.003650e+003	5.043738e-001
4.003700e+003	3.268178e-001
4.003750e+003	7.171158e-001
4.003800e+003	7.325418e-001
4.003850e+003	3.061472e-001
4.003900e+003	1.463686e-001
4.003950e+003	4.113282e-001
4.004000e+003	7.319103e-001
4.004050e+003	3.923423e-001
4.004100e+003	3.095954e-001
4.004150e+003	2.089133e-001
4.004200e+003	6.322360e-001
4.004250e+003	8.275256e-001
4.004300e+003	8.506106e-001
4.004350e+003	1.444816e+000
4.004400e+003	9.003760e-001
4.004450e+003	6.841576e-001
4.004500e+003	3.212370e-001
4.004550e+003	1.922456e-001
4.004600e+003	3.201261e-001
4.004650e+003	5.051198e-001
4.004700e+003	6.726396e-002
4.004750e+003	6.659943e-001
4.004800e+003	5.595495e-001
4.004850e+003	3.271857e-001
4.004900e+003	3.496765e-001
4.004950e+003	3.825575e-001
4.005000e+003	6.822591e-001
4.005050e+003	9.437771e-001
4.005100e+003	1.095820e+000
4.005150e+003	7.055370e-001
4.005200e+003	4.614962e-001
4.005250e+003	4.084774e-001
4.005300e+003	8.965568e-001
4.005350e+003	5.960337e-001
4.005400e+003	1.158575e+000
4.005450e+003	8.639627e-001
4.005500e+003	3.352649e-001
4.005550e+003	5.927552e-001
4.005600e+003	1.018664e+000
4.005650e+003	1.224022e+000
4.005700e+003	1.020189e+000
4.005750e+003	5.524088e-001
4.005800e+003	6.180187e-001
4.005850e+003	7.101455e-001
4.005900e+003	2.648115e-001
4.005950e+003	3.593420e-001
4.006000e+003	1.157694e+000
4.006050e+003	1.105521e+000
4.006100e+003	1.281977e+000
4.006150e+003	9.239315e-001
4.006200e+003	7.141420e-001
4.006250e+003	7.405711e-001
4.006300e+003	7.339190e-001
4.006350e+003	7.717737e-001
4.006400e+003	1.208695e+000
4.006450e+003	1.294241e+000
4.006500e+003	7.652507e-001
4.006550e+003	9.730987e-001
4.006600e+003	8.435242e-001
4.006650e+003	7.261729e-001
4.006700e+003	5.758391e-001
4.006750e+003	1.248575e+000
4.006800e+003	8.223176e-001
4.006850e+003	4.871844e-001
4.006900e+003	1.081490e+000
4.006950e+003	6.229618e-001
4.007000e+003	3.434581e-001
4.007050e+003	3.554038e-001
4.007100e+003	6.412293e-001
4.007150e+003	4.389946e-001
4.007200e+003	2.278498e-001
4.007250e+003	3.346327e-001
4.007300e+003	4.868940e-001
4.007350e+003	3.483725e-001
4.007400e+003	7.806235e-001
4.007450e+003	8.162585e-001
4.007500e+003	2.558175e-001
4.007550e+003	9.865540e-001
4.007600e+003	1.404846e+000
4.007650e+003	8.727785e-001
4.007700e+003	1.567836e-001
4.007750e+003	9.465220e-001
4.007800e+003	9.054852e-001
4.007850e+003	8.721636e-001
4.007900e+003	8.039640e-001
4.007950e+003	6.569501e-001
4.008000e+003	8.060243e-001
4.008050e+003	3.547867e-001
4.008100e+003	6.005781e-001
4.008150e+003	9.688038e-001
4.008200e+003	1.031549e+000
4.008250e+003	5.537029e-001
4.008300e+003	6.376721e-001
4.008350e+003	5.118962e-001
4.008400e+003	4.590138e-001
4.008450e+003	5.979500e-001
4.008500e+003	4.990781e-001
4.008550e+003	9.195701e-002
4.008600e+003	3.798144e-001
4.008650e+003	3.740641e-001
4.008700e+003	1.700871e-001
4.008750e+003	4.653050e-001
4.008800e+003	4.860634e-001
4.008850e+003	3.127443e-001
4.008900e+003	3.727456e-001
4.008950e+003	3.726455e-001
4.009000e+003	4.798241e-001
4.009050e+003	4.845418e-001
4.009100e+003	1.224299e-001
4.009150e+003	1.619227e-001
4.009200e+003	2.098943e-001
4.009250e+003	4.480397e-001
4.009300e+003	7.641850e-001
4.009350e+003	1.035414e+000
4.009400e+003	9.829926e-001
4.009450e+003	9.715352e-001
4.009500e+003	6.723663e-001
4.009550e+003	1.524395e-001
4.009600e+003	5.958892e-001
4.009650e+003	6.368651e-001
4.009700e+003	9.439255e-001
4.009750e+003	1.895069e-001
4.009800e+003	1.128512e+000
4.009850e+003	1.332085e+000
4.009900e+003	1.273859e+000
4.009950e+003	9.020301e-001
4.010000e+003	1.107405e+000
4.010050e+003	1.069367e+000
4.010100e+003	1.265319e+000
4.010150e+003	9.483314e-001
4.010200e+003	7.832113e-001
4.010250e+003	5.194876e-001
4.010300e+003	6.332693e-001
4.010350e+003	6.455780e-001
4.010400e+003	4.211057e-001
4.010450e+003	5.590023e-001
4.010500e+003	4.574766e-001
4.010550e+003	4.666446e-001
4.010600e+003	3.020084e-001
4.010650e+003	1.467875e-001
4.010700e+003	3.252057e-001
4.010750e+003	5.013428e-001
4.010800e+003	3.194130e-001
4.010850e+003	5.649216e-001
4.010900e+003	5.864488e-001
4.010950e+003	7.187852e-001
4.011000e+003	6.799196e-001
4.011050e+003	7.364410e-001
4.011100e+003	7.416600e-001
4.011150e+003	3.823911e-001
4.011200e+003	6.198006e-001
4.011250e+003	7.901601e-001
4.011300e+003	7.228805e-001
4.011350e+003	5.813356e-001
4.011400e+003	2.872736e-001
4.011450e+003	7.432504e-001
4.011500e+003	5.202449e-001
4.011550e+003	3.998096e-001
4.011600e+003	7.817120e-001
4.011650e+003	3.952632e-001
4.011700e+003	2.573597e-001
4.011750e+003	4.039489e-001
4.011800e+003	9.939382e-002
4.011850e+003	7.094077e-001
4.011900e+003	6.796723e-001
4.011950e+003	3.951545e-001
4.012000e+003	2.783996e-001
4.012050e+003	9.325303e-001
4.012100e+003	1.027493e+000
4.012150e+003	3.535336e-001
4.012200e+003	1.037252e-001
4.012250e+003	3.868150e-001
4.012300e+003	6.758356e-001
4.012350e+003	4.357182e-001
4.012400e+003	5.412964e-001
4.012450e+003	3.936451e-001
4.012500e+003	6.542420e-001
4.012550e+003	6.513821e-001
4.012600e+003	5.890906e-001
4.012650e+003	3.093225e-001
4.012700e+003	7.306981e-001
4.012750e+003	4.093545e-001
4.012800e+003	1.557124e-001
4.012850e+003	5.719670e-001
4.012900e+003	3.981537e-001
4.012950e+003	3.815928e-001
4.013000e+003	6.428093e-001
4.013050e+003	5.849668e-001
4.013100e+003	4.247085e-001
4.013150e+003	2.887129e-001
4.013200e+003	5.796755e-001
4.013250e+003	6.874369e-001
4.013300e+003	8.661274e-001
4.013350e+003	7.897206e-001
4.013400e+003	5.450688e-001
4.013450e+003	5.920382e-001
4.013500e+003	2.266664e-001
4.013550e+003	5.465081e-001
4.013600e+003	5.159856e-001
4.013650e+003	4.639967e-001
4.013700e+003	2.676202e-001
4.013750e+003	4.960242e-001
4.013800e+003	7.145189e-001
4.013850e+003	8.911397e-001
4.013900e+003	5.502326e-001
4.013950e+003	3.221963e-001
4.014000e+003	4.372967e-001
4.014050e+003	3.058767e-001
4.014100e+003	3.281211e-001
4.014150e+003	4.904264e-001
4.014200e+003	5.602236e-001
4.014250e+003	7.581135e-001
4.014300e+003	1.050106e+000
4.014350e+003	9.115978e-001
4.014400e+003	7.057728e-001
4.014450e+003	7.051670e-001
4.014500e+003	5.632672e-001
4.014550e+003	6.444638e-001
4.014600e+003	4.408844e-001
4.014650e+003	1.480632e-001
4.014700e+003	4.168031e-001
4.014750e+003	3.988895e-001
4.014800e+003	7.304233e-001
4.014850e+003	1.191413e+000
4.014900e+003	8.203294e-001
4.014950e+003	6.397374e-001
4.015000e+003	7.773665e-002
4.015050e+003	8.094213e-001
4.015100e+003	4.027292e-001
4.015150e+003	5.928503e-001
4.015200e+003	4.463391e-001
4.015250e+003	3.792421e-001
4.015300e+003	4.111213e-001
4.015350e+003	4.071505e-001
4.015400e+003	4.300006e-001
4.015450e+003	4.208273e-001
4.015500e+003	2.104745e-001
4.015550e+003	2.495129e-001
4.015600e+003	2.250671e-001
4.015650e+003	1.505620e-001
4.015700e+003	3.430890e-001
4.015750e+003	7.820303e-001
4.015800e+003	3.720719e-001
4.015850e+003	7.263862e-001
4.015900e+003	9.422016e-001
4.015950e+003	9.451261e-001
4.016000e+003	1.025545e+000
4.016050e+003	1.195833e+000
4.016100e+003	1.511600e+000
4.016150e+003	1.015447e+000
4.016200e+003	2.770185e-001
4.016250e+003	1.182038e+000
4.016300e+003	1.138931e+000
4.016350e+003	1.360267e+000
4.016400e+003	1.121686e+000
4.016450e+003	7.911036e-001
4.016500e+003	1.196404e-001
4.016550e+003	9.162900e-001
4.016600e+003	1.043843e+000
4.016650e+003	8.528986e-001
4.016700e+003	9.163991e-001
